index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
2715,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,Y375Golden,0.747058823529412,#EAB693,True,375.0,126.0
2716,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y375,0.686274509803922,#D4B18A,True,375.0,123.0
2717,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,Y375,0.656862745098039,#D09E7F,True,375.0,124.0
2718,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Espresso,380,0.27843137254902,#5B3D33,True,380.0,104.0
2719,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Bisque W,380,0.674509803921569,#D3AC85,True,380.0,88.0
2720,ZOEVA,Authentik Skin Natural Luminous Foundation,Smile,380N,0.390196078431373,#AA4C1D,True,380.0,78.0
2721,Exa,High Fidelity Foundation,Alyssa,380,0.67843137254902,#D5A985,False,380.0,115.0
2722,SMITH & CULT,Veiled Threat Weightless Micro-Blurring Foundation,Warm,380,0.554901960784314,#C87D53,True,380.0,95.0
2723,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,,380,0.594117647058824,#CB8D64,True,380.0,96.0
2724,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,,380,0.67843137254902,#E59C75,True,380.0,97.0
2725,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,380W,0.633333333333333,#D49E6F,True,380.0,98.0
2726,FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,,380,0.643137254901961,#D29A76,True,380.0,99.0
